Postalcode,Borough,Neighborhood,City,City1,City2,Latitude,Longitude,IsDuplicate,Total Venues,1st Most Common Label,2nd Most Common Label,3rd Most Common Label,4th Most Common Label,5th Most Common Label,6th Most Common Label,7th Most Common Label,8th Most Common Label,9th Most Common Label,10th Most Common Label
M1B,Scarborough,"Malvern, Rouge",Toronto,"Toronto, Ontario","Toronto, ON",43.80918705800008,-79.19315671499999,False,9.0,Arts and Entertainment,Dining and Lunching,Landmarks and Outdoors,Travel and Transportation,Business and Professional Services,Bar,Community and Government,Education,Event,Financial Service
M3B,North York,Don Mills,Toronto,"Toronto, Ontario","Toronto, ON",43.74613642600008,-79.35885268399994,False,29.0,Dining and Lunching,Retail,Food and Beverage Retail,Landmarks and Outdoors,Travel and Transportation,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education
M4B,East York,"Parkview Hill, Woodbine Gardens",Toronto,"Toronto, Ontario","Toronto, ON",43.70644344200008,-79.30999082399995,False,14.0,Dining and Lunching,Arts and Entertainment,Bar,Landmarks and Outdoors,Office,Retail,Business and Professional Services,Community and Government,Education,Event
M5B,Downtown Toronto,"Garden District, Ryerson",Toronto,"Toronto, Ontario","Toronto, ON",43.65775734600004,-79.37832560799995,False,100.0,Dining and Lunching,Retail,Landmarks and Outdoors,Arts and Entertainment,Bar,Travel and Transportation,Business and Professional Services,Community and Government,Financial Service,Food and Beverage Retail
M6B,North York,Glencairn,Toronto,"Toronto, Ontario","Toronto, ON",43.70773262500006,-79.44770740099995,False,43.0,Dining and Lunching,Retail,Travel and Transportation,Food and Beverage Retail,Landmarks and Outdoors,Bar,Business and Professional Services,Arts and Entertainment,Community and Government,Education
M9B,Etobicoke,"West Deane Park, Princess Gardens, Martin Grove, Islington",Toronto,"Toronto, Ontario","Toronto, ON",43.65239830100006,-79.55373344499998,False,11.0,Dining and Lunching,Landmarks and Outdoors,Travel and Transportation,Retail,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event
M1C,Scarborough,"Rouge Hill, Port Union, Highland Creek",Toronto,"Toronto, Ontario","Toronto, ON",43.787427415000025,-79.15598765899995,False,3.0,Bar,Landmarks and Outdoors,Travel and Transportation,Arts and Entertainment,Business and Professional Services,Community and Government,Dining and Lunching,Education,Event,Financial Service
M3C,North York,"Don Mills, Flemingdon Park",Toronto,"Toronto, Ontario","Toronto, ON",43.724321461000045,-79.34329698299996,False,34.0,Dining and Lunching,Arts and Entertainment,Food and Beverage Retail,Retail,Travel and Transportation,Landmarks and Outdoors,Office,Bar,Business and Professional Services,Community and Government
M4C,East York,Woodbine Heights,Toronto,"Toronto, Ontario","Toronto, ON",43.69165547500006,-79.31139865599994,False,50.0,Dining and Lunching,Retail,Landmarks and Outdoors,Travel and Transportation,Bar,Food and Beverage Retail,Business and Professional Services,Arts and Entertainment,Office,Community and Government
M5C,Downtown Toronto,St. James Town,Toronto,"Toronto, Ontario","Toronto, ON",43.651486084000055,-79.37562534399996,False,100.0,Dining and Lunching,Retail,Arts and Entertainment,Landmarks and Outdoors,Bar,Food and Beverage Retail,Travel and Transportation,Business and Professional Services,Community and Government,Education
M6C,York,Humewood-Cedarvale,Toronto,"Toronto, Ontario","Toronto, ON",43.69173335800008,-79.43080985699999,False,34.0,Dining and Lunching,Landmarks and Outdoors,Food and Beverage Retail,Arts and Entertainment,Bar,Retail,Travel and Transportation,Business and Professional Services,Community and Government,Education
M9C,Etobicoke,Markland Wood,Toronto,"Toronto, Ontario","Toronto, ON",43.642609925000045,-79.57628915399994,False,22.0,Dining and Lunching,Retail,Food and Beverage Retail,Arts and Entertainment,Landmarks and Outdoors,Travel and Transportation,Bar,Business and Professional Services,Community and Government,Education
M1E,Scarborough,"Guildwood, Morningside, West Hill",Toronto,"Toronto, Ontario","Toronto, ON",43.76552287800007,-79.18567131099996,False,24.0,Dining and Lunching,Food and Beverage Retail,Retail,Business and Professional Services,Landmarks and Outdoors,Travel and Transportation,Arts and Entertainment,Bar,Community and Government,Education
M4E,The Beaches,East Toronto The Beaches,Toronto,"Toronto, Ontario","Toronto, ON",43.67822260500003,-79.29375836199995,False,67.0,Dining and Lunching,Retail,Bar,Food and Beverage Retail,Landmarks and Outdoors,Arts and Entertainment,Travel and Transportation,Business and Professional Services,Community and Government,Education
M5E,Downtown Toronto,Berczy Park,Toronto,"Toronto, Ontario","Toronto, ON",43.645444293000025,-79.37327166399996,False,100.0,Dining and Lunching,Retail,Landmarks and Outdoors,Arts and Entertainment,Food and Beverage Retail,Bar,Travel and Transportation,Business and Professional Services,Community and Government,Education
M6E,York,Caledonia-Fairbanks,Toronto,"Toronto, Ontario","Toronto, ON",43.68806668700006,-79.45041783299996,False,28.0,Dining and Lunching,Retail,Travel and Transportation,Landmarks and Outdoors,Food and Beverage Retail,Bar,Arts and Entertainment,Business and Professional Services,Community and Government,Education
M1G,Scarborough,Woburn,Toronto,"Toronto, Ontario","Toronto, ON",43.77063534500007,-79.21669989199995,False,8.0,Dining and Lunching,Landmarks and Outdoors,Retail,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event,Financial Service
M4G,East York,Leaside,Toronto,"Toronto, Ontario","Toronto, ON",43.70884486600005,-79.36613953399996,False,97.0,Dining and Lunching,Retail,Food and Beverage Retail,Travel and Transportation,Bar,Business and Professional Services,Office,Arts and Entertainment,Community and Government,Education
M5G,Downtown Toronto,Bay Street,Toronto,"Toronto, Ontario","Toronto, ON",43.656790476000026,-79.38610291199996,False,100.0,Dining and Lunching,Retail,Arts and Entertainment,Landmarks and Outdoors,Bar,Community and Government,Travel and Transportation,Business and Professional Services,Education,Event
M6G,Downtown Toronto,Christie,Toronto,"Toronto, Ontario","Toronto, ON",43.66802664600005,-79.42075805199994,False,100.0,Dining and Lunching,Food and Beverage Retail,Retail,Arts and Entertainment,Bar,Landmarks and Outdoors,Education,Office,Business and Professional Services,Community and Government
M1H,Scarborough,Cedarbrae,Toronto,"Toronto, Ontario","Toronto, ON",43.76855515400007,-79.23867705699996,False,19.0,Dining and Lunching,Travel and Transportation,Landmarks and Outdoors,Retail,Sports and Recreation,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education
M2H,North York,Hillcrest Village,Toronto,"Toronto, Ontario","Toronto, ON",43.80171357300003,-79.35825740499996,False,25.0,Dining and Lunching,Retail,Landmarks and Outdoors,Food and Beverage Retail,Community and Government,Travel and Transportation,Arts and Entertainment,Bar,Business and Professional Services,Education
M3H,North York,"Bathurst Manor, Wilson Heights, Downsview",Toronto,"Toronto, Ontario","Toronto, ON",43.74735128300006,-79.44412824799997,False,23.0,Dining and Lunching,Landmarks and Outdoors,Retail,Food and Beverage Retail,Travel and Transportation,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education
M4H,East York,Thorncliffe Park,Toronto,"Toronto, Ontario","Toronto, ON",43.70446100000004,-79.34818905999998,False,30.0,Dining and Lunching,Food and Beverage Retail,Travel and Transportation,Retail,Landmarks and Outdoors,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education
M5H,Downtown Toronto,"Richmond, King",Toronto,"Toronto, Ontario","Toronto, ON",43.64997834500008,-79.38359315699995,False,100.0,Dining and Lunching,Retail,Arts and Entertainment,Bar,Travel and Transportation,Landmarks and Outdoors,Business and Professional Services,Community and Government,Education,Event
M6H,Dufferin,Dovercourt Village,Toronto,"Toronto, Ontario","Toronto, ON",43.66482844200005,-79.43770119999994,False,100.0,Dining and Lunching,Retail,Bar,Food and Beverage Retail,Arts and Entertainment,Landmarks and Outdoors,Business and Professional Services,Community and Government,Education,Event
M1J,Scarborough,Village,Toronto,"Toronto, Ontario","Toronto, ON",43.74665016600005,-79.23193932899994,False,11.0,Dining and Lunching,Retail,Landmarks and Outdoors,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event,Financial Service
M2J,North York,Henry Farm,Toronto,"Toronto, Ontario","Toronto, ON",43.78040746100004,-79.34736251299995,False,55.0,Dining and Lunching,Retail,Food and Beverage Retail,Bar,Arts and Entertainment,Landmarks and Outdoors,Travel and Transportation,Business and Professional Services,Community and Government,Education
M3J,North York,"Northwood Park, York University",Toronto,"Toronto, Ontario","Toronto, ON",43.765731526000025,-79.48916546699996,False,22.0,Dining and Lunching,Retail,Travel and Transportation,Bar,Landmarks and Outdoors,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Event
M4J,East York,The Danforth,Toronto,"Toronto, Ontario","Toronto, ON",43.686562826000056,-79.33672517699995,False,91.0,Dining and Lunching,Retail,Food and Beverage Retail,Bar,Landmarks and Outdoors,Business and Professional Services,Arts and Entertainment,Travel and Transportation,Community and Government,Education
M5J,Downtown Toronto,"Harbourfront, Union Station, Toronto Islands",Toronto,"Toronto, Ontario","Toronto, ON",43.61753179200008,-79.37327715699996,False,34.0,Landmarks and Outdoors,Dining and Lunching,Arts and Entertainment,Travel and Transportation,Bar,Business and Professional Services,Community and Government,Education,Event,Financial Service
M6J,Little Portugal,Trinity,Toronto,"Toronto, Ontario","Toronto, ON",43.64805164800004,-79.41765265299995,False,100.0,Dining and Lunching,Bar,Retail,Arts and Entertainment,Landmarks and Outdoors,Business and Professional Services,Food and Beverage Retail,Community and Government,Education,Event
M1K,Scarborough,"Kennedy Park, Ionview, Birchmount Park",Toronto,"Toronto, Ontario","Toronto, ON",43.72960391300006,-79.26381057499998,False,28.0,Dining and Lunching,Retail,Travel and Transportation,Arts and Entertainment,Business and Professional Services,Bar,Community and Government,Education,Event,Financial Service
M2K,North York,Bayview Village,Toronto,"Toronto, Ontario","Toronto, ON",43.773441803000026,-79.37722399799998,False,49.0,Dining and Lunching,Retail,Travel and Transportation,Food and Beverage Retail,Landmarks and Outdoors,Business and Professional Services,Office,Arts and Entertainment,Bar,Community and Government
M3K,North York,"Downsview, CFB Toronto",Toronto,"Toronto, Ontario","Toronto, ON",43.73898974400004,-79.47091157599993,False,14.0,Dining and Lunching,Arts and Entertainment,Landmarks and Outdoors,Food and Beverage Retail,Travel and Transportation,Bar,Business and Professional Services,Community and Government,Education,Event
M4K,The Danforth,Riverdale,Toronto,"Toronto, Ontario","Toronto, ON",43.68042137200007,-79.35324744199994,False,100.0,Dining and Lunching,Retail,Bar,Landmarks and Outdoors,Food and Beverage Retail,Arts and Entertainment,Business and Professional Services,Sports and Recreation,Community and Government,Education
M5K,Downtown Toronto,"Toronto Dominion Centre, Design Exchange",Toronto,"Toronto, Ontario","Toronto, ON",43.64770684700005,-79.38172140699999,False,100.0,Dining and Lunching,Arts and Entertainment,Landmarks and Outdoors,Bar,Travel and Transportation,Retail,Business and Professional Services,Community and Government,Food and Beverage Retail,Education
M6K,Brockton,"Parkdale Village, Exhibition Place",Toronto,"Toronto, Ontario","Toronto, ON",43.63780702100007,-79.42704630599997,False,100.0,Dining and Lunching,Bar,Retail,Arts and Entertainment,Landmarks and Outdoors,Food and Beverage Retail,Business and Professional Services,Event,Sports and Recreation,Travel and Transportation
M1L,Scarborough,"Golden Mile, Clairlea, Oakridge",Toronto,"Toronto, Ontario","Toronto, ON",43.71349305700005,-79.28483536199997,False,20.0,Dining and Lunching,Travel and Transportation,Arts and Entertainment,Bar,Food and Beverage Retail,Landmarks and Outdoors,Sports and Recreation,Business and Professional Services,Community and Government,Education
M2L,North York,York Mills North,Toronto,"Toronto, Ontario","Toronto, ON",43.758908346000055,-79.37014296399997,False,12.0,Dining and Lunching,Travel and Transportation,Retail,Bar,Landmarks and Outdoors,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Event
M3L,North York,Downsview Center,Toronto,"Toronto, Ontario","Toronto, ON",43.74017090800004,-79.50611162799999,False,9.0,Landmarks and Outdoors,Dining and Lunching,Travel and Transportation,Retail,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event
M4L,India Bazaar,The Beaches,Toronto,"Toronto, Ontario","Toronto, ON",43.66937958100005,-79.31560958699998,False,79.0,Dining and Lunching,Retail,Food and Beverage Retail,Landmarks and Outdoors,Arts and Entertainment,Travel and Transportation,Bar,Business and Professional Services,Community and Government,Education
M5L,Downtown Toronto,"Commerce Court, Victoria Hotel",Toronto,"Toronto, Ontario","Toronto, ON",43.648146336000025,-79.37928012199995,False,100.0,Dining and Lunching,Travel and Transportation,Bar,Arts and Entertainment,Landmarks and Outdoors,Retail,Food and Beverage Retail,Business and Professional Services,Community and Government,Education
M6L,North York,Maple Leaf Park,Toronto,"Toronto, Ontario","Toronto, ON",43.71352100200005,-79.48785818999994,False,9.0,Dining and Lunching,Travel and Transportation,Landmarks and Outdoors,Retail,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event
M9L,North York,Humber Summit,Toronto,"Toronto, Ontario","Toronto, ON",43.75940253200008,-79.55634496499994,False,4.0,Dining and Lunching,Arts and Entertainment,Travel and Transportation,Bar,Business and Professional Services,Community and Government,Education,Event,Financial Service,Food and Beverage Retail
M1M,Scarborough,"Cliffside, Cliffcrest, Scarborough Village",Toronto,"Toronto, Ontario","Toronto, ON",43.72513229200007,-79.23061367299994,False,17.0,Dining and Lunching,Landmarks and Outdoors,Travel and Transportation,Retail,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event
M2M,North York,Newtonbrook,Toronto,"Toronto, Ontario","Toronto, ON",43.791637353000056,-79.41017068699995,False,40.0,Dining and Lunching,Food and Beverage Retail,Landmarks and Outdoors,Retail,Bar,Travel and Transportation,Arts and Entertainment,Business and Professional Services,Community and Government,Education
M3M,North York,Downsview South,Toronto,"Toronto, Ontario","Toronto, ON",43.72654095100006,-79.49858956199995,False,4.0,Dining and Lunching,Travel and Transportation,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event,Financial Service,Food and Beverage Retail
M4M,East Toronto Studio District,East Toronto Studio District,Toronto,"Toronto, Ontario","Toronto, ON",43.65718893300004,-79.33584138399993,False,94.0,Dining and Lunching,Retail,Food and Beverage Retail,Landmarks and Outdoors,Bar,Arts and Entertainment,Office,Business and Professional Services,Community and Government,Education
M5M,North York,"Bedford Park, Lawrence Manor",Toronto,"Toronto, Ontario","Toronto, ON",43.73296018700006,-79.41775109399998,False,37.0,Dining and Lunching,Retail,Food and Beverage Retail,Travel and Transportation,Bar,Landmarks and Outdoors,Arts and Entertainment,Business and Professional Services,Community and Government,Education
M6M,York,"Mount Dennis, Keelsdale and Silverthorn",Toronto,"Toronto, Ontario","Toronto, ON",43.69680245100005,-79.48714253199995,False,12.0,Dining and Lunching,Travel and Transportation,Landmarks and Outdoors,Food and Beverage Retail,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event
M9M,North York,"Humberlea, Emery",Toronto,"Toronto, Ontario","Toronto, ON",43.73454944300005,-79.53237329699994,False,7.0,Dining and Lunching,Food and Beverage Retail,Retail,Travel and Transportation,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event
M1N,Scarborough,"Birch Cliff, Cliffside",Toronto,"Toronto, Ontario","Toronto, ON",43.695754806000025,-79.26411933299994,False,13.0,Dining and Lunching,Landmarks and Outdoors,Arts and Entertainment,Retail,Bar,Business and Professional Services,Community and Government,Education,Event,Financial Service
M2N,North York,Willowdale South,Toronto,"Toronto, Ontario","Toronto, ON",43.76760071100006,-79.41027775999999,False,100.0,Dining and Lunching,Retail,Food and Beverage Retail,Bar,Travel and Transportation,Arts and Entertainment,Landmarks and Outdoors,Business and Professional Services,Community and Government,Education
M3N,North York,Downsview North,Toronto,"Toronto, Ontario","Toronto, ON",43.75692873300005,-79.52026201799998,False,27.0,Dining and Lunching,Travel and Transportation,Food and Beverage Retail,Retail,Landmarks and Outdoors,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education
M4N,Lawrence Park,Central Toronto Lawrence Park,Toronto,"Toronto, Ontario","Toronto, ON",43.72736407000008,-79.38991070699996,False,5.0,Dining and Lunching,Landmarks and Outdoors,Education,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Event,Financial Service,Food and Beverage Retail
M5N,Central Toronto Roselawn,Central Toronto Roselawn,Toronto,"Toronto, Ontario","Toronto, ON",43.71139108500006,-79.41919655399994,False,20.0,Dining and Lunching,Landmarks and Outdoors,Retail,Food and Beverage Retail,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event
M6N,York,"Runnymede, The Junction",Toronto,"Toronto, Ontario","Toronto, ON",43.67463780100008,-79.48346825899995,False,32.0,Dining and Lunching,Retail,Travel and Transportation,Food and Beverage Retail,Landmarks and Outdoors,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education
M9N,York,Weston,Toronto,"Toronto, Ontario","Toronto, ON",43.70654267000003,-79.51741584399997,False,18.0,Dining and Lunching,Retail,Travel and Transportation,Business and Professional Services,Food and Beverage Retail,Landmarks and Outdoors,Sports and Recreation,Arts and Entertainment,Bar,Community and Government
M1P,Scarborough,"Dorset Park, Wexford Heights, Scarborough Town Centre",Toronto,"Toronto, Ontario","Toronto, ON",43.76205013100008,-79.27094176199995,False,23.0,Dining and Lunching,Retail,Landmarks and Outdoors,Travel and Transportation,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event
M2P,North York,York Mills South,Toronto,"Toronto, Ontario","Toronto, ON",43.75038388400003,-79.39989980999997,False,22.0,Dining and Lunching,Landmarks and Outdoors,Travel and Transportation,Retail,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event
M4P,Davisville,Central Toronto DavisvilleNorth,Toronto,"Toronto, Ontario","Toronto, ON",43.71251177000005,-79.39033065299998,False,100.0,Dining and Lunching,Retail,Food and Beverage Retail,Arts and Entertainment,Bar,Landmarks and Outdoors,Business and Professional Services,Travel and Transportation,Community and Government,Education
M5P,Forest Hill,Central Toronto Forest HillNorth & West,Toronto,"Toronto, Ontario","Toronto, ON",43.700094199000034,-79.40418772799995,False,100.0,Dining and Lunching,Retail,Bar,Landmarks and Outdoors,Food and Beverage Retail,Travel and Transportation,Arts and Entertainment,Office,Business and Professional Services,Community and Government
M6P,High Park,The Junction,Toronto,"Toronto, Ontario","Toronto, ON",43.660816831000034,-79.46430113599996,False,100.0,Dining and Lunching,Retail,Bar,Travel and Transportation,Food and Beverage Retail,Landmarks and Outdoors,Business and Professional Services,Arts and Entertainment,Community and Government,Education
M9P,Etobicoke,Westmount,Toronto,"Toronto, Ontario","Toronto, ON",43.69279987600004,-79.53289089399993,False,19.0,Dining and Lunching,Travel and Transportation,Landmarks and Outdoors,Bar,Food and Beverage Retail,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Event
M1R,Scarborough,"Wexford, Maryvale",Toronto,"Toronto, Ontario","Toronto, ON",43.75134719900007,-79.30109779199995,False,28.0,Dining and Lunching,Food and Beverage Retail,Retail,Travel and Transportation,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event
M2R,North York,Willowdale North,Toronto,"Toronto, Ontario","Toronto, ON",43.77813353900007,-79.44463076599999,False,15.0,Dining and Lunching,Retail,Travel and Transportation,Bar,Food and Beverage Retail,Landmarks and Outdoors,Arts and Entertainment,Business and Professional Services,Community and Government,Education
M4R,North Toronto,Central Toronto North TorontoWest,Toronto,"Toronto, Ontario","Toronto, ON",43.71481033600003,-79.40627441199996,False,67.0,Dining and Lunching,Retail,Bar,Landmarks and Outdoors,Arts and Entertainment,Business and Professional Services,Food and Beverage Retail,Community and Government,Travel and Transportation,Education
M5R,The Annex,"North Midtown, Yorkville",Toronto,"Toronto, Ontario","Toronto, ON",43.67176142400007,-79.40317528899999,False,100.0,Dining and Lunching,Retail,Arts and Entertainment,Bar,Landmarks and Outdoors,Travel and Transportation,Education,Business and Professional Services,Food and Beverage Retail,Community and Government
M6R,Parkdale,Roncesvalles,Toronto,"Toronto, Ontario","Toronto, ON",43.64755660700007,-79.44988227899995,False,92.0,Dining and Lunching,Retail,Food and Beverage Retail,Arts and Entertainment,Landmarks and Outdoors,Bar,Travel and Transportation,Business and Professional Services,Community and Government,Education
M7R,Mississauga,Canada Post Gateway Processing Centre Enclave of L4W,Toronto,"Toronto, Ontario","Toronto, ON",43.65352400000006,-79.38390699999997,False,100.0,Dining and Lunching,Retail,Arts and Entertainment,Landmarks and Outdoors,Travel and Transportation,Bar,Business and Professional Services,Community and Government,Education,Event
M9R,Etobicoke,Kingsview Village,Toronto,"Toronto, Ontario","Toronto, ON",43.68715749500007,-79.55864455099999,False,22.0,Dining and Lunching,Retail,Travel and Transportation,Food and Beverage Retail,Landmarks and Outdoors,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education
M1S,Scarborough,Agincourt,Toronto,"Toronto, Ontario","Toronto, ON",43.794130550000034,-79.26556016599994,False,39.0,Dining and Lunching,Retail,Travel and Transportation,Arts and Entertainment,Food and Beverage Retail,Bar,Business and Professional Services,Community and Government,Education,Event
M4S,Davisville,Central Toronto Davisville,Toronto,"Toronto, Ontario","Toronto, ON",43.70310280500007,-79.38669970799998,False,100.0,Dining and Lunching,Retail,Food and Beverage Retail,Bar,Travel and Transportation,Arts and Entertainment,Community and Government,Landmarks and Outdoors,Office,Business and Professional Services
M5S,Downtown Toronto,University of Toronto,Toronto,"Toronto, Ontario","Toronto, ON",43.66347989300005,-79.39939789299996,False,100.0,Dining and Lunching,Retail,Bar,Arts and Entertainment,Food and Beverage Retail,Travel and Transportation,Community and Government,Business and Professional Services,Landmarks and Outdoors,Education
M6S,Runnymede,Swansea,Toronto,"Toronto, Ontario","Toronto, ON",43.65021943500005,-79.47993085399997,False,63.0,Dining and Lunching,Bar,Retail,Food and Beverage Retail,Landmarks and Outdoors,Travel and Transportation,Arts and Entertainment,Business and Professional Services,Community and Government,Education
M1T,Scarborough,"Tam O'Shanter, Sullivan",Toronto,"Toronto, Ontario","Toronto, ON",43.78152698900004,-79.30302002499997,False,38.0,Dining and Lunching,Retail,Travel and Transportation,Landmarks and Outdoors,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event
M4T,Moore Park,Summerhill,Toronto,"Toronto, Ontario","Toronto, ON",43.69056378100004,-79.38507535999997,False,52.0,Dining and Lunching,Landmarks and Outdoors,Food and Beverage Retail,Travel and Transportation,Arts and Entertainment,Bar,Community and Government,Health and Medicine,Retail,Business and Professional Services
M5T,Downtown Toronto,"Kensington Market, Chinatown, Grange Park",Toronto,"Toronto, Ontario","Toronto, ON",43.65375024200006,-79.39823568999998,False,100.0,Dining and Lunching,Retail,Food and Beverage Retail,Arts and Entertainment,Bar,Education,Landmarks and Outdoors,Business and Professional Services,Community and Government,Event
M1V,Scarborough,"Milliken, Agincourt North, Steeles, L'Amoreaux",Toronto,"Toronto, Ontario","Toronto, ON",43.81787596100003,-79.28022014499999,False,19.0,Dining and Lunching,Retail,Landmarks and Outdoors,Travel and Transportation,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event
M4V,Summerhill,"Rathnelly, South Hill, Forest Hill, Deer Park",Toronto,"Toronto, Ontario","Toronto, ON",43.68652239300008,-79.40242163599999,False,70.0,Dining and Lunching,Business and Professional Services,Food and Beverage Retail,Landmarks and Outdoors,Travel and Transportation,Arts and Entertainment,Retail,Bar,Health and Medicine,Community and Government
M5V,Downtown Toronto,"CN Tower, King and Spadina, Railway Lands, Harbourfront, South Niagara, Island airport",Toronto,"Toronto, Ontario","Toronto, ON",43.64151855900008,-79.39728979099993,False,100.0,Dining and Lunching,Retail,Arts and Entertainment,Bar,Business and Professional Services,Landmarks and Outdoors,Travel and Transportation,Food and Beverage Retail,Sports and Recreation,Community and Government
M8V,Etobicoke,"New Toronto, Mimico",Toronto,"Toronto, Ontario","Toronto, ON",43.60524340500007,-79.50347382999996,False,20.0,Dining and Lunching,Food and Beverage Retail,Landmarks and Outdoors,Bar,Travel and Transportation,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Event
M9V,Etobicoke,"South Steeles, Silverstone, Jamestown, Mount Olive, Beaumond Heights, Thistletown",Toronto,"Toronto, Ontario","Toronto, ON",43.74282390900004,-79.58466487599998,False,16.0,Dining and Lunching,Food and Beverage Retail,Travel and Transportation,Arts and Entertainment,Retail,Bar,Business and Professional Services,Community and Government,Education,Event
M1W,Scarborough,"Steeles, L'Amoreaux",Toronto,"Toronto, Ontario","Toronto, ON",43.80139432800007,-79.32141428399996,False,19.0,Dining and Lunching,Retail,Food and Beverage Retail,Landmarks and Outdoors,Travel and Transportation,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education
M4W,Downtown Toronto,Rosedale,Toronto,"Toronto, Ontario","Toronto, ON",43.68018930900007,-79.37495054699997,False,20.0,Dining and Lunching,Landmarks and Outdoors,Food and Beverage Retail,Retail,Travel and Transportation,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education
M5W,Downtown Toronto,Stn A PO Boxes25 The Esplanade Enclave of M5E,Toronto,"Toronto, Ontario","Toronto, ON",43.64611449100005,-79.37517786199999,False,100.0,Dining and Lunching,Bar,Arts and Entertainment,Travel and Transportation,Food and Beverage Retail,Retail,Landmarks and Outdoors,Business and Professional Services,Community and Government,Education
M8W,Etobicoke,"Alderwood, Long Branch",Toronto,"Toronto, Ontario","Toronto, ON",43.60125312200006,-79.53963968099998,False,29.0,Dining and Lunching,Retail,Bar,Food and Beverage Retail,Travel and Transportation,Landmarks and Outdoors,Arts and Entertainment,Business and Professional Services,Community and Government,Education
M9W,Etobicoke,"Clairville, Humberwood, Woodbine Downs, Rexdale, Elms",Toronto,"Toronto, Ontario","Toronto, ON",43.697038734000046,-79.59150599399999,False,11.0,Travel and Transportation,Dining and Lunching,Bar,Retail,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Event,Financial Service
M1X,Scarborough,Upper Rouge,Toronto,"Toronto, Ontario","Toronto, ON",43.82968637600004,-79.22929352899996,False,4.0,Travel and Transportation,Business and Professional Services,Landmarks and Outdoors,Arts and Entertainment,Bar,Community and Government,Dining and Lunching,Education,Event,Financial Service
M4X,Downtown Toronto,"St. James Town, Cabbagetown",Toronto,"Toronto, Ontario","Toronto, ON",43.66828108300007,-79.36820467199993,False,54.0,Dining and Lunching,Landmarks and Outdoors,Retail,Food and Beverage Retail,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event
M5X,Downtown Toronto,"First Canadian Place, Underground city",Toronto,"Toronto, Ontario","Toronto, ON",43.648368686000026,-79.38319813799995,False,100.0,Dining and Lunching,Arts and Entertainment,Bar,Landmarks and Outdoors,Travel and Transportation,Retail,Business and Professional Services,Community and Government,Food and Beverage Retail,Education
M8X,Etobicoke,"The Kingsway, Old Mill",Toronto,"Toronto, Ontario","Toronto, ON",43.65481786700008,-79.50915975299995,False,49.0,Dining and Lunching,Retail,Landmarks and Outdoors,Bar,Food and Beverage Retail,Arts and Entertainment,Business and Professional Services,Travel and Transportation,Community and Government,Education
M4Y,Downtown Toronto,Church and Wellesley,Toronto,"Toronto, Ontario","Toronto, ON",43.66650164800007,-79.38134221999996,False,100.0,Dining and Lunching,Retail,Bar,Food and Beverage Retail,Landmarks and Outdoors,Arts and Entertainment,Business and Professional Services,Travel and Transportation,Education,Community and Government
M7Y,Business reply mail,East TorontoBusiness reply mailProcessing Centre969 Eastern Enclave of M4L,Toronto,"Toronto, Ontario","Toronto, ON",43.66209422500003,-79.32248785999997,False,59.0,Dining and Lunching,Retail,Food and Beverage Retail,Landmarks and Outdoors,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event
M8Y,Etobicoke,"Old Mill, Sunnylea, Humber Bay, Mimico, The Queensway",Toronto,"Toronto, Ontario","Toronto, ON",43.63310824700005,-79.49470230299994,False,23.0,Dining and Lunching,Landmarks and Outdoors,Retail,Travel and Transportation,Food and Beverage Retail,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education
