Postalcode,Borough,Neighborhood,City,City1,City2,Latitude,Longitude,IsDuplicate,Total Venues,1st Most Common Label,2nd Most Common Label,3rd Most Common Label,4th Most Common Label,5th Most Common Label,6th Most Common Label,7th Most Common Label,8th Most Common Label,9th Most Common Label,10th Most Common Label
G8K,Saint-Félicien,Saint-Félicien,Quebec City,"Quebec City, Quebec","Quebec City, QC",48.657771000000025,-72.45097899999996,False,6.0,Dining and Lunching,Food and Beverage Retail,Travel and Transportation,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event,Financial Service
G1L,Quebec City Northeast,Quebec City Northeast South,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.83049099600004,-71.24320141399994,False,18.0,Dining and Lunching,Food and Beverage Retail,Retail,Arts and Entertainment,Landmarks and Outdoors,Business and Professional Services,Travel and Transportation,Bar,Community and Government,Education
G3L,Saint-Raymond,Saint-Raymond,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.89141200000006,-71.83264599999995,False,6.0,Dining and Lunching,Arts and Entertainment,Food and Beverage Retail,Retail,Bar,Business and Professional Services,Community and Government,Education,Event,Financial Service
G5L,Rimouski,Rimouski Central,Quebec City,"Quebec City, Quebec","Quebec City, QC",48.44922800000006,-68.52525899999995,True,35.0,Dining and Lunching,Bar,Retail,Travel and Transportation,Arts and Entertainment,Food and Beverage Retail,Sports and Recreation,Business and Professional Services,Community and Government,Education
G6L,Plessisville,Princeville,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.219445000000064,-71.77213499999993,False,7.0,Dining and Lunching,Food and Beverage Retail,Retail,Travel and Transportation,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event
G8L,Dolbeau-Mistassini,Saint-Stanislas,Quebec City,"Quebec City, Quebec","Quebec City, QC",48.88262400000008,-72.23338099999995,False,8.0,Retail,Dining and Lunching,Food and Beverage Retail,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event,Financial Service
G1M,North Central,North Central North,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.82439100000005,-71.25270099999994,False,34.0,Dining and Lunching,Retail,Food and Beverage Retail,Arts and Entertainment,Landmarks and Outdoors,Travel and Transportation,Business and Professional Services,Bar,Community and Government,Education
G2M,Quebec City Northeast,Quebec City Northeast North,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.91809124500003,-71.30859262599995,False,6.0,Retail,Travel and Transportation,Dining and Lunching,Landmarks and Outdoors,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event
G3M,Donnacona,Donnacona,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.67266700000005,-71.73724999999996,False,4.0,Dining and Lunching,Retail,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event,Financial Service,Food and Beverage Retail
G5M,Rimouski,Rimouski Northeast,Quebec City,"Quebec City, Quebec","Quebec City, QC",48.44922800000006,-68.52525899999995,True,35.0,Dining and Lunching,Bar,Retail,Travel and Transportation,Arts and Entertainment,Food and Beverage Retail,Sports and Recreation,Business and Professional Services,Community and Government,Education
