Postalcode,Borough,Neighborhood,City,City1,City2
G5Z,Saint-Georges,Saint-Georges Southeast,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G6Z,Lévis,Lévis,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G7Z,Saguenay,Northwest Jonquière,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G8Z,Trois-Rivières,Trois-Rivières Northeast,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G0A,Sainte-Christine-d'Auvergne,"Beaupré, Boischatel, Cap-Santé, Château-Richer, Deschambault-Grondines, Deschambault-Grondines, L'Isle-aux-Coudres, L'Isle-aux-Coudres, Lac-Sergent, L'Ange-Gardien, Petite-Rivière-Saint-François, Les Éboulements, Neuville, Portneuf, Rivière-à-Pierre, Saint-Alban, Sainte-Anne-de-Beaupré, Saint-Basile, L'Isle-aux-Coudres, Sainte-Brigitte-de-Laval, Saint-Casimir, Sainte-Famille-de-l'Île-d'Orléans, Saint-Ferréol-les-Neiges, Saint-François-de-l'Île-d'Orléans, Saint-Gilbert, Saint-Hilarion, Saint-Jean-de-l'Île-d'Orléans, Saint-Joachim, Les Éboulements, Saint-Laurent-de-l'Île-d'Orléans, Saint-Léonard-de-Portneuf, Saint-Marc-des-Carrières, Sainte-Pétronille, Saint-Pierre-de-l'Île-d'Orléans, Saint-Thuribe, Saint-Tite-des-Caps, Saint-Urbain, Saint-Ubalde, Saint-Gabriel-de-Valcartier, Wendake, Saint-Gabriel-de-Valcartier, CFB Valcartier",Quebec City,"Quebec City, Quebec","Quebec City, QC"
G0C,Percé,"New Richmond, Bonaventure, Percé, Caplan, Carleton-sur-Mer, Chandler, Pointe-à-la-Croix, Escuminac, Port-Daniel–Gascons, Cascapédia–Saint-Jules, Grande-Rivière, Grande-Rivière, Pointe-à-la-Croix, Maria, Gesgapegiag, New Carlisle, Chandler, New Richmond, Nouvelle, Nouvelle, Chandler, Chandler, Paspébiac, Hope, Percé, Escuminac, Port-Daniel–Gascons, Listuguj, Saint-Alphonse, Saint-Elzéar, Percé, Hope, Carleton-sur-Mer, Saint-Siméon, Sainte-Thérèse-de-Gaspé, Saint-Godefroi, Hope Town, Shigawake, Percé",Quebec City,"Quebec City, Quebec","Quebec City, QC"
G0E,La Martre,"Cloridorme, Grande-Vallée, Saint-Maxime-du-Mont-Louis, Sainte-Madeleine-de-la-Rivière-Madeleine, Sainte-Madeleine-de-la-Rivière-Madeleine, Marsoui, Saint-Maxime-du-Mont-Louis, Mont-Saint-Pierre, Murdochville, Petite-Vallée, Rivière-à-Claude, Sainte-Madeleine-de-la-Rivière-Madeleine, Rivière-à-Claude, Saint-Maxime-du-Mont-Louis, La Martre",Quebec City,"Quebec City, Quebec","Quebec City, QC"
G0G,Aguanish,"Baie-Johan-Beetz, Blanc-Sablon, Blanc-Sablon, Côte-Nord-du-Golfe-du-Saint-Laurent, Sept-Îles, Fermont, Sept-Îles, La Romaine, Côte-Nord-du-Golfe-du-Saint-Laurent, Havre-Saint-Pierre, Aguanish, Côte-Nord-du-Golfe-du-Saint-Laurent, Gros-Mécatina, Longue-Pointe-de-Mingan, Blanc-Sablon, Rivière-Saint-Jean, Bonne-Espérance, Sept-Îles, Gros-Mécatina, Nutashkuan, Natashquan, Bonne-Espérance, Rivière-au-Tonnerre, Rivière-Saint-Jean, Bonne-Espérance, Saint-Augustin, Matimekosh, Schefferville, Rivière-au-Tonnette, Côte-Nord-du-Golfe-du-Saint-Laurent, L'Île-d'Anticosti, Kawawachikamach",Quebec City,"Quebec City, Quebec","Quebec City, QC"
G0H,Baie-Trinité,"Pessamit, Chute-aux-Outardes, Franquelin, Godbout, Pointe-aux-Outardes, Pointe-Lebel, Colombier, Port-Cartier, Ragueneau",Quebec City,"Quebec City, Quebec","Quebec City, QC"
G0J,Albertville,"Baie-des-Sables, Cap-Chat, Cap-Chat, Cap-Chat, Causapscal, Grosses-Roches, Lac-au-Saumon, Saint-Zénon-du-Lac-Humqui, La Rédemption, L'Ascension-de-Patapédia, Métis-sur-Mer, Les Méchins, Matapédia, Ristigouche-Sud-Est, Padoue, Price, Grand-Métis, Routhierville, Saint-Adelme, Saint-Alexandre-des-Lacs, Saint-Alexis-de-Matapédia, Saint-André-de-Restigouche, Sainte-Angèle-de-Mérici, Saint-Damase, Sainte-Félicité, Sainte-Flavie, Sainte-Florence, Saint-François-d'Assise, Sainte-Irène, Saint-Jean-de-Cherbourg, Sainte-Jeanne-d'Arc, Saint-Léandre, Saint-Léon-le-Grand, Sainte-Marguerite-Marie, Saint-Moïse, Saint-Noël, Saint-Octave-de-Métis, Sainte-Paule, Saint-René-de-Matane, Saint-Tharcisius, Saint-Ulric, Saint-Vianney, Sayabec, Val-Brillant, Saint-Cléophas",Quebec City,"Quebec City, Quebec","Quebec City, QC"
