Postalcode,Borough,Neighborhood,City,City1,City2,Latitude,Longitude,IsDuplicate
G8N,Hébertville,Hébertville,Quebec City,"Quebec City, Quebec","Quebec City, QC",48.394205000000056,-71.67745099999996,False
G9N,Shawinigan,Shawinigan Central,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.55324000000007,-72.75034699999998,True
G1P,Quebec City West,Quebec City West South,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.791090000000054,-71.29249999999996,False
G6P,Victoriaville,Victoriaville Central,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.054955000000064,-71.96020599999997,True
G7P,Saint-Ambroise,Saint-Ambroise,Quebec City,"Quebec City, Quebec","Quebec City, QC",48.55955200000005,-71.32398399999994,False
G8P,Chibougamau,Chibougamau,Quebec City,"Quebec City, Quebec","Quebec City, QC",49.81378119500005,-74.34848943299994,False
G9P,Shawinigan,Shawinigan Southeast,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.55324000000007,-72.75034699999998,True
G1R,Saint-Louis-de-Gonzague-du-Cap-Tourmente,Saint-Louis-de-Gonzague-du-Cap-Tourmente,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.810830511064665,-71.21501399726375,False
G4R,Sept-Îles,"Maliotenam, Uashat",Quebec City,"Quebec City, Quebec","Quebec City, QC",50.20984600000003,-66.38522399999994,True
G5R,Rivière-du-Loup,Rivière-du-Loup,Quebec City,"Quebec City, Quebec","Quebec City, QC",47.82074000000006,-69.55178999999998,False
G6R,Victoriaville,Saint-Christophe-d'Arthabaska,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.054955000000064,-71.96020599999997,True
G9R,Shawinigan,Shawinigan Northwest,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.55324000000007,-72.75034699999998,True
G1S,Quebec City South,Quebec City South,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.792369894000046,-71.24526610899994,False
G3S,Shannon,Shannon,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.88026000000008,-71.51463999999999,False
G4S,Sept-Îles,Sept-Îles Northwest,Quebec City,"Quebec City, Quebec","Quebec City, QC",50.20984600000003,-66.38522399999994,True
G6S,Victoriaville,Victoriaville East,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.054955000000064,-71.96020599999997,True
G7S,Saguenay,Northeast Jonquière,Quebec City,"Quebec City, Quebec","Quebec City, QC",48.37224865500008,-71.13058857099998,True
G1T,Upper Riverbank,Upper Riverbank,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.77353206200007,-71.25925699799996,False
G4T,Les Îles-de-la-Madeleine,Grosse-Île,Quebec City,"Quebec City, Quebec","Quebec City, QC",47.24984236900008,-61.92138188699994,False
G5T,Dégelis,Dégelis,Quebec City,"Quebec City, Quebec","Quebec City, QC",47.543941000000075,-68.64672699999994,False
G6T,Victoriaville,Victoriaville Northwest,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.054955000000064,-71.96020599999997,True
G7T,Saguenay,Southeast Jonquière,Quebec City,"Quebec City, Quebec","Quebec City, QC",48.37224865500008,-71.13058857099998,True
G8T,Trois-Rivières,Central and southeast,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.34311100000008,-72.54331999999994,True
G9T,Shawinigan,Grand-Mère,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.55324000000007,-72.75034699999998,True
G1V,Northeast Sainte-Foy,Northeast Sainte-Foy,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.780029365000075,-71.28553315099998,False
